Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
212,141,9,P07278,30917369.924,12.0944,-6.0379,2894750500915470,0.9496,0,wt_wan_et_al_15
213,141,9,P07278,42009613.354,22.8036,-2.0181,2894750500915470,0.9496,0,wt_wan_et_al_15
214,142,9,P07280,3779532603.2137,35.3917,1.7082,1.37673743560961E+017,0.9696,0,wt_wan_et_al_15
215,143,9,P07283,702057772.3077,21.503,1.8018,1.24656428971378E+017,0.8779,0,wt_wan_et_al_15
216,143,9,P07283,175723365.5005,30.8634,7.0719,1.24656428971378E+017,0.8779,0,wt_wan_et_al_15
217,143,9,P07283,186250953.6579,76.0632,34.3075,1.24656428971378E+017,0.8779,0,wt_wan_et_al_15
218,144,9,P07284,3709922034.4973,20.2173,1.5184,2.18590426432778E+018,0.9459,0,wt_wan_et_al_15
219,145,9,P07285,218598322.9956,18.677,6.3328,2040508547059994,0.9108,0,wt_wan_et_al_15
220,145,9,P07285,399452008.5628,17.5236,1.6992,2040508547059994,0.9108,0,wt_wan_et_al_15
221,146,9,P07342,892040802.9644,5.1069,1.8891,1342990303777314,0.9993,0,wt_wan_et_al_15
222,146,9,P07342,177616139.1816,11.3963,3.4359,1342990303777314,0.9993,0,wt_wan_et_al_15
223,147,9,P07347,149076759.5524,29.4986,1.29,2.75440574525814E+015,0.9363,0,wt_wan_et_al_15
224,148,9,P07560,69330777.6685,8.4489,5.7134,1.79727583212433E+015,0.9198,0,wt_wan_et_al_15
225,148,9,P07560,15548957.19,105.8148,1.7011,1.79727583212433E+015,0.9198,0,wt_wan_et_al_15
226,148,9,P07560,13354019.3046,73.1226,3.313,1.79727583212433E+015,0.9198,0,wt_wan_et_al_15
227,149,9,P07702,2765019333.1956,21.4524,1.2782,9.95859615074109E+017,0.9243,0,wt_wan_et_al_15
228,150,9,P07703,182768739.0842,46.2171,14.8641,3.78141999459783E+017,0.7677,0,wt_wan_et_al_15
229,150,9,P07703,619754606.8277,58.4872,2.0013,3.78141999459783E+017,0.7677,0,wt_wan_et_al_15
230,150,9,P07703,101655192.986,78.1902,11.2138,3.78141999459783E+017,0.7677,0,wt_wan_et_al_15
231,151,9,P07806,9315104651.6948,26.4582,1.5813,5.5375021792756E+018,0.9701,0,wt_wan_et_al_15
232,152,9,P07884,51074080.1545,30.1245,1.384,716359140081262,0.9298,0,wt_wan_et_al_15
233,153,9,P08018,1806046.2691,6.3781,2.2701,778036240976.414,0.9057,0,wt_wan_et_al_15
234,154,9,P08417,77313723.6635,3.5264,1.3871,1.00423644552889E+015,0.9176,0,wt_wan_et_al_15
235,155,9,P08465,39765754.2819,33.9208,2.423,74417773975916.8,0.9837,0,wt_wan_et_al_15
236,156,9,P08518,5851854448.4393,50.3951,1.9464,4.56677382624341E+016,0.9791,0,wt_wan_et_al_15
