Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
2456,1831,12,Q14008,4601992.5427,10.8247,-7.6646,17938650310219,0.9834,0,kirkwood_rep3
2457,1832,12,Q14011,4666797.138,10.2127,8.301,301784830651254,0.8697,0,kirkwood_rep3
2458,1832,12,Q14011,28344006.9133,35.2456,3.8827,301784830651254,0.8697,0,kirkwood_rep3
2459,1833,12,Q14019,340450954.5604,32.2182,1.8863,323614668916207,0.9987,0,kirkwood_rep3
2460,1834,12,Q14103,193741549.7802,7.8486,2.4713,1.05618072534778E+015,0.9752,0,kirkwood_rep3
2461,1834,12,Q14103,59521139.0355,23.2059,3.7648,1.05618072534778E+015,0.9752,0,kirkwood_rep3
2462,1834,12,Q14103,60439256.9039,11.4016,8.4808,1.05618072534778E+015,0.9752,0,kirkwood_rep3
2463,1835,12,Q14108,4542965.0739,3.3468,2.1267,65516288927.0985,0.9946,0,kirkwood_rep3
2464,1836,12,Q14116,76556523.7927,30.409,1.9322,101443665649180,0.9926,0,kirkwood_rep3
2465,1838,12,Q14137,18174342.2054,4.3555,2.2011,10025407272820.6,0.8788,0,kirkwood_rep3
2466,1838,12,Q14137,37877981.57,22.6449,2.4362,10025407272820.6,0.8788,0,kirkwood_rep3
2467,1839,12,Q14139,20172214.3077,20.7222,1.8522,1512592405972.26,0.9981,0,kirkwood_rep3
2468,1840,12,Q14141,22558642.4817,11.8135,2.7572,69438548765248.5,0.9702,0,kirkwood_rep3
2469,1844,12,Q14152,1036826239.4182,11.1923,1.9281,2049899749168793,0.9984,0,kirkwood_rep3
2470,1845,12,Q14155,4242358.176,13.6502,2.2722,388658017854.489,0.9919,0,kirkwood_rep3
2471,1846,12,Q14157,11021205.3829,33.1464,5.5825,39689136295693.2,0.9943,0,kirkwood_rep3
2472,1846,12,Q14157,13317643.7169,23.104,4.2897,39689136295693.2,0.9943,0,kirkwood_rep3
2473,1846,12,Q14157,61043089.3495,18.7725,2.4467,39689136295693.2,0.9943,0,kirkwood_rep3
2474,1847,12,Q14160,3146013.8563,3.2145,2.5757,520010253204.675,0.9926,0,kirkwood_rep3
2475,1847,12,Q14160,3996352.7926,17.5521,3.9744,520010253204.675,0.9926,0,kirkwood_rep3
2476,1848,12,Q14161,1258838.7354,14.2602,2.0184,367502719692.695,0.9024,0,kirkwood_rep3
2477,1849,12,Q14165,30910993.5767,2.4664,2.2444,28227108577086,0.9848,0,kirkwood_rep3
2478,1850,12,Q14166,38061636.7078,22.1457,1.9226,26425539977075.1,0.9911,0,kirkwood_rep3
2479,1851,12,Q14181,10500382.3121,17.2272,2.0468,2874386221206.28,0.9887,0,kirkwood_rep3
2480,1851,12,Q14181,4305904.0046,25.5,-1.6847,2874386221206.28,0.9887,0,kirkwood_rep3
2481,1852,12,Q14185,13176193.8692,14.4486,1.6965,4194042520079.67,0.9895,0,kirkwood_rep3
