Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
17283,14451,4,P00817,50527905.1895,1.5497,1.5581,9.66451102300535E+015,0.9664,0,wt_zymolyase_17
17284,14451,4,P00817,338933193.7623,41.5019,1.8806,9.66451102300535E+015,0.9664,0,wt_zymolyase_17
17285,14451,4,P00817,106742800.6141,50.3533,2.3906,9.66451102300535E+015,0.9664,0,wt_zymolyase_17
17286,14452,4,P00830,65243939.3355,3.4111,2.7962,1191171675253940,0.9265,0,wt_zymolyase_17
17287,14452,4,P00830,30986848.7228,64.2713,3.1725,1191171675253940,0.9265,0,wt_zymolyase_17
17288,14454,4,P00899,29266465.7203,50.9368,1.2048,211826694876216,0.9734,0,wt_zymolyase_17
17289,14454,4,P00899,17662016.4387,59.1503,1.9456,211826694876216,0.9734,0,wt_zymolyase_17
17290,14454,4,P00899,51305053.3427,50.1367,-3.7454,211826694876216,0.9734,0,wt_zymolyase_17
17291,14456,4,P00924,854950488.1689,40.6396,1.616,2.17087908394575E+016,0.9304,0,wt_zymolyase_17
17292,14457,4,P00925,3211428304.8032,40.9796,2.1455,8.20809293189443E+017,0.9682,0,wt_zymolyase_17
17293,14457,4,P00925,825459009.4152,50.5275,2.9006,8.20809293189443E+017,0.9682,0,wt_zymolyase_17
17294,14457,4,P00925,965298264.0189,55.3913,9.3978,8.20809293189443E+017,0.9682,0,wt_zymolyase_17
17295,14458,4,P00927,12025690.6413,62.73,4.4927,34821970461247.9,0.9593,0,wt_zymolyase_17
17296,14459,4,P00931,20840971.4452,4.6634,1.9785,2978902569222540,0.8801,0,wt_zymolyase_17
17297,14459,4,P00931,77514218.1132,51.2046,1.9692,2978902569222540,0.8801,0,wt_zymolyase_17
17298,14459,4,P00931,16888438.6155,50.1641,13.5761,2978902569222540,0.8801,0,wt_zymolyase_17
17299,14461,4,P00942,24175957.8217,49.0984,3.1115,79763749528559,0.9767,0,wt_zymolyase_17
17300,14461,4,P00942,38602874.6628,42.2692,-2.5616,79763749528559,0.9767,0,wt_zymolyase_17
17301,14462,4,P00950,1079825484.1404,38.7517,2.0986,7504169251149163,0.9705,0,wt_zymolyase_17
17302,14463,4,P00958,159424694.07,29.6962,1.9262,3.38967223894045E+016,0.7302,0,wt_zymolyase_17
17303,14463,4,P00958,126293812.0193,60.0535,9.4594,3.38967223894045E+016,0.7302,0,wt_zymolyase_17
17304,14466,4,P02293,467676960.612,3.1482,1.5026,3.31421136646952E+016,0.9787,0,wt_zymolyase_17
17305,14466,4,P02293,174353910.7455,12.6646,9.24,3.31421136646952E+016,0.9787,0,wt_zymolyase_17
17306,14466,4,P02293,302958969.5461,6.895,3.6168,3.31421136646952E+016,0.9787,0,wt_zymolyase_17
17307,14467,4,P02294,466651663.094,3.1498,1.5008,3.30797887086101E+016,0.9787,0,wt_zymolyase_17
17308,14467,4,P02294,172647973.1182,12.6815,-9.3489,3.30797887086101E+016,0.9787,0,wt_zymolyase_17
17309,14467,4,P02294,302900248.7107,6.91,3.6384,3.30797887086101E+016,0.9787,0,wt_zymolyase_17
17310,14468,4,P02309,441566902.463,3.7969,2.8783,3171645965124696,0.9874,0,wt_zymolyase_17
17311,14468,4,P02309,89522644.9894,8.5659,4.5081,3171645965124696,0.9874,0,wt_zymolyase_17
17312,14469,4,P02400,153095415.5035,7.5944,2.0873,4.22892855364726E+016,0.9424,0,wt_zymolyase_17
17313,14469,4,P02400,1012110699.8347,50.3542,1.7896,4.22892855364726E+016,0.9424,0,wt_zymolyase_17
17314,14470,4,P02406,82054619.4901,8.4026,1.6666,268594481389317,0.9813,0,wt_zymolyase_17
17315,14471,4,P02407,1034532977.3996,10.8282,3.5782,2.86449234669795E+016,0.9821,0,wt_zymolyase_17
17316,14472,4,P02557,69318128.0554,4.2428,2.7749,1097674566720884,0.941,0,wt_zymolyase_17
17317,14472,4,P02557,30483239.7676,58.9551,2.2053,1097674566720884,0.941,0,wt_zymolyase_17
17318,14472,4,P02557,14072696.9098,62.5312,6.5104,1097674566720884,0.941,0,wt_zymolyase_17
17319,14473,4,P02829,152790888.2213,4.9656,1.6945,4661912998495870,0.9903,0,wt_zymolyase_17
17320,14473,4,P02829,154659569.8446,43.9902,2.2356,4661912998495870,0.9903,0,wt_zymolyase_17
17321,14473,4,P02829,223560145.2446,33.5805,2.029,4661912998495870,0.9903,0,wt_zymolyase_17
17322,14473,4,P02829,201491141.7707,30.6203,3.4263,4661912998495870,0.9903,0,wt_zymolyase_17
17323,14474,4,P02992,185622475.6581,52.3283,3.0379,949955790219292,0.9851,0,wt_zymolyase_17
17324,14474,4,P02992,28328208.342,64.1502,4.1353,949955790219292,0.9851,0,wt_zymolyase_17
17325,14474,4,P02992,69756777.1873,58.2875,2.5251,949955790219292,0.9851,0,wt_zymolyase_17
17326,14474,4,P02992,104905625.5905,45.5525,-1.4869,949955790219292,0.9851,0,wt_zymolyase_17
17327,14475,4,P02994,1670087402.6476,3.6516,3.7853,6.77795332011251E+018,0.9228,0,wt_zymolyase_17
17328,14475,4,P02994,2908697337.2573,51.4403,3.0691,6.77795332011251E+018,0.9228,0,wt_zymolyase_17
17329,14475,4,P02994,5525462255.1635,63.4882,6.5923,6.77795332011251E+018,0.9228,0,wt_zymolyase_17
17330,14478,4,P04046,13381078.4847,2.8849,1.9608,295014515091830,0.9749,0,wt_zymolyase_17
17331,14478,4,P04046,58932561.8681,29.3811,2.9895,295014515091830,0.9749,0,wt_zymolyase_17
17332,14478,4,P04046,15989194.8702,50.5778,1.5143,295014515091830,0.9749,0,wt_zymolyase_17
