uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70
P05319	0	43863000	47877000	46536000	0	97981000	253700000	170060000	0	238920000	228410000	151640000	83082000	63792000	78714000	44029000	0	0	35618000	0	27193000	20651000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17270000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P05373	0	754290	793750	0	0	537030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P05374	0	6602100	10116000	10241000	0	4877200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P05453	27651000	101850000	72619000	58939000	58115000	20576000	16820000	10743000	9726000	11203000	12668000	16717000	7522500	10526000	6853300	25115000	21669000	10135000	8481200	7614800	5693200	8162600	9247400	9516000	11864000	3492400	8747100	4347100	7260900	0	0	23824000	0	0	0	0	0	0	0	0	0	0	0	0	21063000	0	0	0	0	0	0	0	0	0	0	0	20402000	19344000	32178000	21572000	38422000	41780000	30560000	22902000	31355000	19193000	25348000	0	14286000	12749000
P05626	0	6201700	4723900	4489700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P05694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45881000	161920000	57597000	0	27604000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23830000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P05737	74768000	260840000	242060000	60287000	12342000	93514000	1197100000	2170300000	1707900000	1337600000	745540000	248600000	236850000	197700000	140530000	70501000	31341000	44405000	14980000	35785000	18177000	4926500	41700000	18082000	0	0	7411500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	563090	0	0	0	0	0	0	0	0	13616000	0	0	1956900	8490100	10278000	0	7915200	27366000	27440000	41671000	46855000	26895000	26156000	35216000	22965000	31527000	67041000
P05738	0	0	7043400	29450000	16397000	33022000	19024000	10868000	7921700	9962700	5003700	22149000	39484000	53534000	16488000	24980000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P05739	51346000	47051000	129660000	60398000	124370000	217700000	1347000000	1904300000	1704100000	978600000	942080000	397980000	644490000	198620000	208670000	412970000	127520000	171980000	156510000	168700000	38931000	64117000	21743000	6688000	5061700	3415400	3813300	6364700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9726800	969570	1141600	0	0	0	0	0	0	0	0	19874000	16994000	51791000	29312000	8191600	70928000	7005400	9318800	5578900	5457200	7755400	16881000	6476800	9646800	7626400	25898000
P05740	23378000	66739000	44218000	13928000	107650000	48078000	609810000	1349700000	691660000	1397200000	701720000	70403000	31709000	24220000	7396900	0	54551000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	711870	0	0	0	0	6138900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19286000	21969000	22448000	43223000	34109000	18152000	19453000	58071000	66630000	28539000	10558000	0	0	37653000	27563000	37691000	40780000	19529000	16297000
